0.0mA_x,0.0mA_y,0.1mA_x,0.1mA_y,0.2mA_x,0.2mA_y,0.3mA_x,0.3mA_y
485.1652,  0.7668,554.3944,  1.0895,570.3704,  1.2880,570.6507,  1.8235
486.8979,  0.7661,556.3744,  1.0912,572.4074,  1.2895,572.6887,  1.8245
488.6306,  0.7654,558.3544,  1.0929,574.4444,  1.2910,574.7267,  1.8256
490.3634,  0.7646,560.3343,  1.0946,576.4815,  1.2924,576.7648,  1.8266
492.0961,  0.7639,562.3143,  1.0964,578.5185,  1.2939,578.8028,  1.8277
493.8288,  0.7632,564.2943,  1.0981,580.5556,  1.2954,580.8408,  1.8287
495.5616,  0.7625,566.2743,  1.0998,582.5926,  1.2969,582.8789,  1.8298
497.2943,  0.7618,568.2543,  1.1015,584.6296,  1.2984,584.9169,  1.8309
499.0270,  0.7611,570.2342,  1.1033,586.6667,  1.2999,586.9550,  1.8319
500.7598,  0.7604,572.2142,  1.1050,588.7037,  1.3014,588.9930,  1.8330
502.4925,  0.7597,574.1942,  1.1067,590.7407,  1.3029,591.0310,  1.8340
504.2252,  0.7590,576.1742,  1.1084,592.7778,  1.3043,593.0691,  1.8351
505.9580,  0.7583,578.1542,  1.1102,594.8148,  1.3058,595.1071,  1.8361
507.6907,  0.7575,580.1341,  1.1119,596.8519,  1.3073,597.1451,  1.8372
509.4234,  0.7568,582.1141,  1.1136,598.8889,  1.3088,599.1832,  1.8382
511.1562,  0.7561,584.0941,  1.1153,600.9259,  1.3103,601.2212,  1.8393
512.8889,  0.7554,586.0741,  1.1171,602.9630,  1.3118,603.2593,  1.8403
514.6216,  0.7547,588.0541,  1.1188,605.0000,  1.3133,605.2973,  1.8414
516.3544,  0.7540,590.0340,  1.1205,607.0370,  1.3147,607.3353,  1.8424
518.0871,  0.7533,592.0140,  1.1222,609.0741,  1.3162,609.3734,  1.8435
519.8198,  0.7526,593.9940,  1.1239,611.1111,  1.3177,611.4114,  1.8445
521.5526,  0.7519,595.9740,  1.1257,613.1481,  1.3192,613.4494,  1.8456
523.2853,  0.7512,597.9540,  1.1274,615.1852,  1.3207,615.4875,  1.8466
525.0180,  0.7504,599.9339,  1.1291,617.2222,  1.3222,617.5255,  1.8477
